Type,Dish,DishPerSample
Гнои,Кровяной агар,1
Гнои,Шоколадный агар,0
Гнои,Эндо,"0,5"
Гнои,Сабуро,"0,25"
Гнои,ЖСА,"0,5"
Гнои,Уриселект,"0,5"
Гнои,Энтерокккагар,"0,5"
Гнои,XLD-агар,0
Гнои,SS-агар,0
Гнои,Тиогликолевая среда,1
Гнои,Сывороточный агар,0
Гнои,Коринебак агар,0
Гнои,Агар Шадлера,0
Гнои,Хромогенный агар,0
Гнои,Престон агар,0
Мокрота и БАЛ,Кровяной агар,1
Мокрота и БАЛ,Шоколадный агар,1
Мокрота и БАЛ,Эндо,"0,5"
Мокрота и БАЛ,Сабуро,"0,25"
Мокрота и БАЛ,ЖСА,"0,5"
Мокрота и БАЛ,Уриселект,"0,5"
Мокрота и БАЛ,Энтерокккагар,"0,5"
Мокрота и БАЛ,XLD-агар,0
Мокрота и БАЛ,SS-агар,0
Мокрота и БАЛ,Тиогликолевая среда,1
Мокрота и БАЛ,Сывороточный агар,0
Мокрота и БАЛ,Коринебак агар,0
Мокрота и БАЛ,Агар Шадлера,0
Мокрота и БАЛ,Хромогенный агар,0
Мокрота и БАЛ,Престон агар,0
Кровь,Кровяной агар,0
Кровь,Шоколадный агар,0
Кровь,Эндо,0
Кровь,Сабуро,0
Кровь,ЖСА,0
Кровь,Уриселект,0
Кровь,Энтерокккагар,0
Кровь,XLD-агар,0
Кровь,SS-агар,0
Кровь,Тиогликолевая среда,0
Кровь,Сывороточный агар,0
Кровь,Коринебак агар,0
Кровь,Агар Шадлера,0
Кровь,Престон агар,0
Кровь,Хромогенный агар,0
Желчь,Кровяной агар,1
Желчь,Шоколадный агар,0
Желчь,Эндо,"0,5"
Желчь,Сабуро,"0,25"
Желчь,ЖСА,"0,5"
Желчь,Уриселект,"0,5"
Желчь,Энтерокккагар,"0,5"
Желчь,XLD-агар,0
Желчь,SS-агар,0
Желчь,Тиогликолевая среда,1
Желчь,Сывороточный агар,0
Желчь,Коринебак агар,0
Желчь,Агар Шадлера,0
Желчь,Хромогенный агар,0
Желчь,Престон агар,0
Ликвор,Кровяной агар,1
Ликвор,Шоколадный агар,1
Ликвор,Эндо,"0,5"
Ликвор,Сабуро,"0,25"
Ликвор,ЖСА,"0,5"
Ликвор,Уриселект,"0,5"
Ликвор,Энтерокккагар,"0,5"
Ликвор,XLD-агар,0
Ликвор,SS-агар,0
Ликвор,Тиогликолевая среда,1
Ликвор,Сывороточный агар,1
Ликвор,Коринебак агар,0
Ликвор,Хромогенный агар,0
Ликвор,Агар Шадлера,0
Ликвор,Престон агар,0
Моча,Кровяной агар,1
Моча,Шоколадный агар,0
Моча,Эндо,0
Моча,Сабуро,0
Моча,ЖСА,0
Моча,Уриселект,"0,5"
Моча,Энтерокккагар,0
Моча,XLD-агар,0
Моча,SS-агар,0
Моча,Тиогликолевая среда,1
Моча,Сывороточный агар,0
Моча,Коринебак агар,0
Моча,Агар Шадлера,0
Моча,Хромогенный агар,0
Моча,Престон агар,0
Микроскопия на туберкулёз,Кровяной агар,0
Микроскопия на туберкулёз,Шоколадный агар,0
Микроскопия на туберкулёз,Эндо,0
Микроскопия на туберкулёз,Сабуро,0
Микроскопия на туберкулёз,ЖСА,0
Микроскопия на туберкулёз,Уриселект,0
Микроскопия на туберкулёз,Энтерокккагар,0
Микроскопия на туберкулёз,XLD-агар,0
Микроскопия на туберкулёз,SS-агар,0
Микроскопия на туберкулёз,Тиогликолевая среда,1
Микроскопия на туберкулёз,Сывороточный агар,0
Микроскопия на туберкулёз,Коринебак агар,0
Микроскопия на туберкулёз,Агар Шадлера,0
Микроскопия на туберкулёз,Хромогенный агар,0
Микроскопия на туберкулёз,Престон агар,0
Секционный материал,Кровяной агар,1
Секционный материал,Шоколадный агар,0
Секционный материал,Эндо,"0,5"
Секционный материал,Сабуро,"0,25"
Секционный материал,ЖСА,"0,5"
Секционный материал,Уриселект,"0,5"
Секционный материал,Энтерокккагар,"0,5"
Секционный материал,XLD-агар,0
Секционный материал,SS-агар,0
Секционный материал,Тиогликолевая среда,1
Секционный материал,Сывороточный агар,0
Секционный материал,Коринебак агар,0
Секционный материал,Агар Шадлера,0
Секционный материал,Хромогенный агар,1
Секционный материал,Престон агар,0
Дисбиоз,Кровяной агар,1
Дисбиоз,Шоколадный агар,0
Дисбиоз,Эндо,1
Дисбиоз,Сабуро,1
Дисбиоз,ЖСА,1
Дисбиоз,Уриселект,0
Дисбиоз,Энтерокккагар,1
Дисбиоз,XLD-агар,0
Дисбиоз,SS-агар,0
Дисбиоз,Тиогликолевая среда,9
Дисбиоз,Сывороточный агар,0
Дисбиоз,Коринебак агар,0
Дисбиоз,Агар Шадлера,0
Дисбиоз,Хромогенный агар,0
Дисбиоз,Престон агар,0
УПФ,Кровяной агар,1
УПФ,Шоколадный агар,0
УПФ,Эндо,1
УПФ,Сабуро,1
УПФ,ЖСА,1
УПФ,Уриселект,0
УПФ,Энтерокккагар,1
УПФ,XLD-агар,0
УПФ,SS-агар,0
УПФ,Тиогликолевая среда,0
УПФ,Сывороточный агар,0
УПФ,Коринебак агар,0
УПФ,Агар Шадлера,0
УПФ,Хромогенный агар,0
